string,html,head,script,link,meta,title,base,body,div,a,img,span,form,input,button,ul,li,i,dl,dt,dd,style,p,h2,h3,br,number_of_tags,wb_div,h1,svg,path,g,rect,h4,select,option,figure,figcaption,vc:icon-close,noscript
1840,1,1,32,4,6,1,1,1,181,452,127,29,1,3,1,18,94,9,55,55,223,5,43,11,16,2,3214,2,0,0,0,0,0,0,0,0,0,0,0,0
1840,1,1,32,4,6,1,1,1,181,452,127,29,1,3,1,18,94,9,55,55,223,5,43,11,16,2,3214,2,0,0,0,0,0,0,0,0,0,0,0,0
1803,1,1,28,6,6,1,1,1,172,449,127,27,1,3,1,18,94,9,55,55,223,3,43,11,16,2,3157,0,0,0,0,0,0,0,0,0,0,0,0,0
1803,1,1,28,6,6,1,1,1,172,449,127,27,1,3,1,18,94,9,55,55,223,3,43,11,16,2,3157,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,1,1,28,6,6,1,1,1,172,448,126,27,1,3,1,18,94,9,55,55,222,3,43,11,16,2,3148,0,0,0,0,0,0,0,0,0,0,0,0,0
1798,1,1,28,6,6,1,1,1,172,448,126,27,1,3,1,18,94,9,55,55,222,3,43,11,16,2,3149,0,0,0,0,0,0,0,0,0,0,0,0,0
1836,1,1,32,4,6,1,1,1,181,451,126,29,1,3,1,18,94,9,55,55,222,5,43,11,16,2,3207,2,0,0,0,0,0,0,0,0,0,0,0,0
1798,1,1,28,6,6,1,1,1,172,448,126,27,1,3,1,18,94,9,55,55,222,3,43,11,16,2,3149,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,1,1,32,4,6,1,1,1,181,451,126,29,1,3,1,18,94,9,55,55,222,5,43,11,16,2,3206,2,0,0,0,0,0,0,0,0,0,0,0,0
1794,1,1,28,6,6,1,1,1,172,446,125,27,1,3,1,18,93,9,55,55,222,3,43,11,16,2,3141,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3199,2,0,0,0,0,0,0,0,0,0,0,0,0
1831,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3198,2,0,0,0,0,0,0,0,0,0,0,0,0
1831,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3198,2,0,0,0,0,0,0,0,0,0,0,0,0
1794,1,1,28,6,6,1,1,1,172,446,125,27,1,3,1,18,93,9,55,55,222,3,43,11,16,2,3141,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3198,2,0,0,0,0,0,0,0,0,0,0,0,0
1831,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3198,2,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3199,2,0,0,0,0,0,0,0,0,0,0,0,0
1794,1,1,28,6,6,1,1,1,172,446,125,27,1,3,1,18,93,9,55,55,222,3,43,11,16,2,3141,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3198,2,0,0,0,0,0,0,0,0,0,0,0,0
1831,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3198,2,0,0,0,0,0,0,0,0,0,0,0,0
1794,1,1,28,6,6,1,1,1,172,446,125,27,1,3,1,18,93,9,55,55,222,3,43,11,16,2,3141,0,0,0,0,0,0,0,0,0,0,0,0,0
1833,1,1,32,4,6,1,1,1,181,449,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3200,2,0,0,0,0,0,0,0,0,0,0,0,0
1796,1,1,28,6,6,1,1,1,172,447,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3145,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,1,1,28,6,6,1,1,1,172,447,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3146,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,1,1,32,4,6,1,1,1,181,450,125,29,1,3,1,18,93,9,55,55,223,5,43,11,16,2,3203,2,0,0,0,0,0,0,0,0,0,0,0,0
1796,1,1,28,6,6,1,1,1,172,447,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3145,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,1,1,28,6,6,1,1,1,172,447,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3145,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,1,1,28,6,6,1,1,1,172,447,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3145,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,1,1,32,4,6,1,1,1,181,450,125,29,1,3,1,18,93,9,55,55,223,5,43,11,16,2,3204,2,0,0,0,0,0,0,0,0,0,0,0,0
1835,1,1,32,4,6,1,1,1,181,451,125,29,1,3,1,18,93,9,55,55,223,5,43,11,16,2,3205,2,0,0,0,0,0,0,0,0,0,0,0,0
1797,1,1,28,6,6,1,1,1,172,448,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3147,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,1,1,28,6,6,1,1,1,172,448,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3146,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,1,1,32,4,6,1,1,1,181,453,126,29,1,3,1,18,94,9,55,55,223,5,43,11,16,2,3213,2,0,0,0,0,0,0,0,0,0,0,0,0
1801,1,1,28,6,6,1,1,1,172,450,126,27,1,3,1,18,94,9,55,55,223,3,43,11,16,2,3155,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,1,1,32,4,6,1,1,1,181,453,126,29,1,3,1,18,94,9,55,55,223,5,43,11,16,2,3214,2,0,0,0,0,0,0,0,0,0,0,0,0
1839,1,1,32,4,6,1,1,1,181,453,126,29,1,3,1,18,94,9,55,55,223,5,43,11,16,2,3213,2,0,0,0,0,0,0,0,0,0,0,0,0
1797,1,1,28,6,6,1,1,1,172,448,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3147,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,1,1,28,6,6,1,1,1,172,448,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3146,0,0,0,0,0,0,0,0,0,0,0,0,0
1797,1,1,28,6,6,1,1,1,172,448,125,27,1,3,1,18,93,9,55,55,223,3,43,11,16,2,3147,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,32,4,6,1,1,1,181,450,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3200,2,0,0,0,0,0,0,0,0,0,0,0,0
1831,1,1,32,4,6,1,1,1,181,450,125,29,1,3,1,18,93,9,55,55,222,5,43,11,16,2,3199,2,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1803,1,1,28,6,6,1,1,1,172,450,127,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3158,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1804,1,1,28,6,6,1,1,1,172,450,127,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3159,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1803,1,1,28,6,6,1,1,1,172,450,127,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3158,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1803,1,1,28,6,6,1,1,1,172,450,127,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3158,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1842,1,1,32,4,6,1,1,1,181,453,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3217,2,0,0,0,0,0,0,0,0,0,0,0,0
1847,1,1,32,4,6,1,1,1,181,455,128,29,1,3,1,18,94,9,55,55,224,5,43,11,16,2,3226,2,0,0,0,0,0,0,0,0,0,0,0,0
1809,1,1,28,6,6,1,1,1,172,452,128,27,1,3,1,18,94,9,55,55,224,3,43,11,16,2,3168,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,1,1,28,6,6,1,1,1,173,453,129,27,1,3,1,18,94,9,55,55,224,3,43,11,16,2,3177,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,1,1,28,6,6,1,1,1,173,453,129,27,1,3,1,18,94,9,55,55,224,3,43,11,16,2,3176,0,0,0,0,0,0,0,0,0,0,0,0,0
1808,1,1,28,6,6,1,1,1,173,451,128,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3166,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,1,1,28,6,6,1,1,1,173,451,128,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3167,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,1,1,28,6,6,1,1,1,173,451,128,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3167,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,1,1,28,6,6,1,1,1,173,453,129,27,1,3,1,18,94,9,55,55,224,3,43,11,16,2,3177,0,0,0,0,0,0,0,0,0,0,0,0,0
1809,1,1,28,6,6,1,1,1,172,452,128,27,1,3,1,18,94,9,55,55,224,3,43,11,16,2,3168,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,1,1,32,4,6,1,1,1,182,456,128,29,1,3,1,18,94,9,55,55,224,5,43,11,16,2,3230,2,0,0,0,0,0,0,0,0,0,0,0,0
1854,1,1,32,4,6,1,1,1,183,457,129,29,1,3,1,18,94,9,55,55,224,5,43,11,16,2,3238,2,0,0,0,0,0,0,0,0,0,0,0,0
1816,1,1,28,6,6,1,1,1,174,454,129,27,1,3,1,18,94,9,55,55,224,3,43,11,16,2,3180,0,0,0,0,0,0,0,0,0,0,0,0,0
1816,1,1,28,6,6,1,1,1,174,454,129,27,1,3,1,18,94,9,55,55,224,3,43,11,16,2,3180,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,1,1,28,6,6,1,1,1,173,451,127,27,1,3,1,18,93,9,55,55,224,3,43,11,16,2,3164,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,1,1,32,4,6,1,1,1,182,454,127,29,1,3,1,18,93,9,55,55,224,5,43,11,16,2,3221,2,0,0,0,0,0,0,0,0,0,0,0,0
1806,1,1,28,6,6,1,1,1,172,451,126,27,1,3,1,18,93,9,56,55,225,3,41,11,16,2,3161,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,1,1,32,4,6,1,1,1,182,455,127,29,1,3,1,18,93,9,56,55,225,5,41,11,16,2,3227,2,0,0,0,0,0,0,0,0,0,0,0,0
1806,1,1,28,6,6,1,1,1,172,451,126,27,1,3,1,18,93,9,56,55,225,3,41,11,16,2,3161,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,1,1,28,6,6,1,1,1,172,452,126,27,1,3,1,18,93,9,55,55,226,3,41,11,16,2,3163,0,0,0,0,0,0,0,0,0,0,0,0,0
1808,1,1,28,6,6,1,1,1,172,452,126,27,1,3,1,18,93,9,55,55,226,3,41,11,16,2,3164,0,0,0,0,0,0,0,0,0,0,0,0,0
1846,1,1,32,4,6,1,1,1,181,455,126,29,1,3,1,18,93,9,55,55,226,5,41,11,16,2,3222,2,0,0,0,0,0,0,0,0,0,0,0,0
1808,1,1,28,6,6,1,1,1,172,452,126,27,1,3,1,18,93,9,55,55,226,3,41,11,16,2,3164,0,0,0,0,0,0,0,0,0,0,0,0,0
1846,1,1,32,4,6,1,1,1,181,455,126,29,1,3,1,18,93,9,55,55,226,5,41,11,16,2,3222,2,0,0,0,0,0,0,0,0,0,0,0,0
1861,1,1,32,4,6,1,1,1,181,459,126,29,1,3,1,18,93,9,56,56,230,5,41,11,16,2,3247,2,0,0,0,0,0,0,0,0,0,0,0,0
1823,1,1,28,6,6,1,1,1,172,456,126,27,1,3,1,18,93,9,56,56,230,3,41,11,16,2,3189,0,0,0,0,0,0,0,0,0,0,0,0,0
1862,1,1,32,4,6,1,1,1,181,459,126,29,1,3,1,18,93,9,56,56,230,5,41,11,16,2,3248,2,0,0,0,0,0,0,0,0,0,0,0,0
1823,1,1,28,6,6,1,1,1,172,456,126,27,1,3,1,18,93,9,56,56,230,3,41,11,16,2,3189,0,0,0,0,0,0,0,0,0,0,0,0,0
1862,1,1,32,4,6,1,1,1,181,459,126,29,1,3,1,18,93,9,56,56,230,5,41,11,16,2,3248,2,0,0,0,0,0,0,0,0,0,0,0,0
1859,1,1,32,4,6,1,1,1,181,458,126,28,1,3,1,18,93,9,56,56,230,5,41,11,16,2,3243,2,0,0,0,0,0,0,0,0,0,0,0,0
1825,1,1,28,6,6,1,1,1,172,456,126,27,1,3,1,18,93,9,56,56,230,3,41,11,16,2,3191,0,0,0,0,0,0,0,0,0,0,0,0,0
1825,1,1,28,6,6,1,1,1,172,456,126,27,1,3,1,18,93,9,56,56,230,3,41,11,16,2,3191,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,1,1,33,4,6,1,1,1,183,462,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3266,2,0,0,0,0,0,0,0,0,0,0,0,0
1833,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3208,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,1,1,33,4,6,1,1,1,183,462,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3266,2,0,0,0,0,0,0,0,0,0,0,0,0
1871,1,1,33,4,6,1,1,1,183,462,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3266,2,0,0,0,0,0,0,0,0,0,0,0,0
1833,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3208,0,0,0,0,0,0,0,0,0,0,0,0,0
1833,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3208,0,0,0,0,0,0,0,0,0,0,0,0,0
1833,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3208,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3209,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,1,1,33,4,6,1,1,1,183,462,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3267,2,0,0,0,0,0,0,0,0,0,0,0,0
1834,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3209,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3209,0,0,0,0,0,0,0,0,0,0,0,0,0
1834,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3209,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,1,1,33,4,6,1,1,1,183,462,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3267,2,0,0,0,0,0,0,0,0,0,0,0,0
1834,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3209,0,0,0,0,0,0,0,0,0,0,0,0,0
1872,1,1,33,4,6,1,1,1,183,462,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3267,2,0,0,0,0,0,0,0,0,0,0,0,0
1834,1,1,29,6,6,1,1,1,174,459,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3209,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1871,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3265,2,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1865,1,1,33,4,6,1,1,1,183,459,127,29,1,3,1,18,93,9,56,56,230,5,41,11,16,2,3255,2,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3265,2,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,1,1,33,4,6,1,1,1,183,454,127,29,1,3,1,18,93,9,57,57,225,5,41,11,16,2,3232,2,0,0,0,0,0,0,0,0,0,0,0,0
1813,1,1,29,6,6,1,1,1,174,451,127,27,1,3,1,18,93,9,57,57,225,3,41,11,16,2,3175,0,0,0,0,0,0,0,0,0,0,0,0,0
1812,1,1,29,6,6,1,1,1,174,451,127,27,1,3,1,18,93,9,57,57,225,3,41,11,16,2,3174,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1870,1,1,33,4,6,1,1,1,183,461,128,29,1,3,1,18,94,9,56,56,230,5,41,11,16,2,3264,2,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,1,29,6,6,1,1,1,174,458,128,27,1,3,1,18,94,9,56,56,230,3,41,11,16,2,3206,0,0,0,0,0,0,0,0,0,0,0,0,0
1824,1,1,29,6,6,1,1,1,174,454,129,27,1,3,1,18,94,9,57,57,226,3,41,11,16,2,3193,0,0,0,0,0,0,0,0,0,0,0,0,0
1863,1,1,33,4,6,1,1,1,183,457,129,29,1,3,1,18,94,9,57,57,226,5,41,11,16,2,3252,2,0,0,0,0,0,0,0,0,0,0,0,0
1862,1,1,33,4,6,1,1,1,183,457,129,29,1,3,1,18,94,9,57,57,226,5,41,11,16,2,3251,2,0,0,0,0,0,0,0,0,0,0,0,0
1820,1,1,29,6,6,1,1,1,174,452,128,27,1,3,1,18,93,9,57,57,226,3,41,11,16,2,3185,0,0,0,0,0,0,0,0,0,0,0,0,0
1803,1,1,29,6,6,1,1,1,174,449,125,27,1,3,1,18,93,9,57,57,223,3,41,11,16,2,3159,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,1,1,33,4,6,1,1,1,183,454,127,29,1,3,1,18,93,9,57,57,225,5,41,11,16,2,3232,2,0,0,0,0,0,0,0,0,0,0,0,0
1850,1,1,33,4,6,1,1,1,183,454,127,29,1,3,1,18,93,9,57,57,225,5,41,11,16,2,3232,2,0,0,0,0,0,0,0,0,0,0,0,0
1820,1,1,29,6,6,1,1,1,174,453,128,27,1,3,1,18,94,9,57,57,226,3,41,11,16,2,3187,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,1,1,27,6,5,1,1,1,174,399,117,27,1,3,1,18,92,8,50,50,177,0,47,11,16,2,2843,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,1,1,27,6,5,1,1,1,174,399,117,27,1,3,1,18,92,8,50,50,177,0,47,11,16,2,2844,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,1,1,27,6,5,1,1,1,174,399,117,27,1,3,1,18,92,8,50,50,177,0,47,11,16,2,2842,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,1,1,27,6,5,1,1,1,174,406,123,27,1,3,1,18,92,8,51,51,183,0,47,11,16,2,2892,0,0,0,0,0,0,0,0,0,0,0,0,0
1634,1,1,27,6,5,1,1,1,174,406,123,27,1,3,1,18,92,8,51,51,183,0,47,11,16,2,2891,0,0,0,0,0,0,0,0,0,0,0,0,0
1672,1,1,31,4,5,1,1,1,183,409,123,29,1,3,1,18,92,8,51,51,183,2,47,11,16,2,2949,2,0,0,0,0,0,0,0,0,0,0,0,0
1634,1,1,27,6,5,1,1,1,174,406,123,27,1,3,1,18,92,8,51,51,183,0,47,11,16,2,2891,0,0,0,0,0,0,0,0,0,0,0,0,0
1634,1,1,27,6,5,1,1,1,174,406,123,27,1,3,1,18,92,8,51,51,183,0,47,11,16,2,2891,0,0,0,0,0,0,0,0,0,0,0,0,0
1634,1,1,27,6,5,1,1,1,174,406,123,27,1,3,1,18,92,8,51,51,183,0,47,11,16,2,2891,0,0,0,0,0,0,0,0,0,0,0,0,0
1634,1,1,27,6,5,1,1,1,174,406,123,27,1,3,1,18,92,8,51,51,183,0,47,11,16,2,2891,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,1,1,27,6,5,1,1,1,174,408,124,27,1,3,1,18,93,8,51,51,183,0,47,11,16,2,2900,0,0,0,0,0,0,0,0,0,0,0,0,0
